staff,start,end,raw_labels,comment,is_ambiguous,labels,file_name
0,53.0,55.0,{'REF'},fragment,False,{'REF'},Beethoven-quartet15-2_ann2_midi_0_53.0_55.0_REF.mid
0,56.0,58.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_56.0_58.0.mid
0,59.0,61.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_59.0_61.0.mid
0,62.0,64.0,set(),,False,"{'SP-PT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_62.0_64.0.mid
0,83.0,85.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_83.0_85.0.mid
0,89.0,91.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_89.0_91.0.mid
0,123.0,126.0,{'?'},added annotation,True,{'?'},Beethoven-quartet15-2_ann2_midi_0_123.0_126.0.mid
0,127.0,130.0,{'?'},added annotation,True,{'?'},Beethoven-quartet15-2_ann2_midi_0_127.0_130.0.mid
0,131.0,134.0,{'?'},added annotation,True,{'?'},Beethoven-quartet15-2_ann2_midi_0_131.0_134.0.mid
0,161.0,163.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_161.0_163.0.mid
0,164.0,166.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_164.0_166.0.mid
0,167.0,169.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_167.0_169.0.mid
0,170.0,172.0,set(),,False,"{'SP-PT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_170.0_172.0.mid
0,173.0,175.0,set(),,False,"{'SP-PT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_173.0_175.0.mid
0,176.0,178.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_176.0_178.0.mid
0,179.0,181.0,set(),,False,"{'PA-TT', 'SR'}",Beethoven-quartet15-2_ann2_midi_0_179.0_181.0.mid
