staff,start,end,raw_labels,comment,is_ambiguous,labels,file_name
0,66.0,72.0,{'REF'},,False,{'REF'},Mozart-K465-SQ19-1_ann3_midi_0_66.0_72.0_REF.mid
0,74.0,80.0,set(),,False,"{'PA-TT', 'SR'}",Mozart-K465-SQ19-1_ann3_midi_0_74.0_80.0.mid
0,82.0,86.0,"{'RA', 'F'}",,False,"{'RA', 'F'}",Mozart-K465-SQ19-1_ann3_midi_0_82.0_86.0.mid
0,98.0,104.0,set(),,False,"{'SP-PT', 'SR'}",Mozart-K465-SQ19-1_ann3_midi_0_98.0_104.0.mid
0,106.0,112.0,set(),,False,"{'PA-TT', 'SR'}",Mozart-K465-SQ19-1_ann3_midi_0_106.0_112.0.mid
0,114.0,118.0,"{'RA', 'F', 'PA'}",,False,"{'RA', 'F', 'PA'}",Mozart-K465-SQ19-1_ann3_midi_0_114.0_118.0.mid
0,162.0,168.0,{'RA'},,False,"{'PA-TT', 'RA'}",Mozart-K465-SQ19-1_ann3_midi_0_162.0_168.0.mid
0,168.0,170.0,"{'RA', 'F'}",,False,"{'RA', 'F'}",Mozart-K465-SQ19-1_ann3_midi_0_168.0_170.0.mid
0,171.0,174.0,"{'RA', 'F'}",,False,"{'RA', 'F'}",Mozart-K465-SQ19-1_ann3_midi_0_171.0_174.0.mid
0,175.0,178.0,"{'RA', 'F'}",,False,"{'RA', 'F'}",Mozart-K465-SQ19-1_ann3_midi_0_175.0_178.0.mid
1,98.0,104.0,{'PA'},,False,"{'SR', 'PA'}",Mozart-K465-SQ19-1_ann3_midi_1_98.0_104.0.mid
1,106.0,112.0,set(),,False,"{'PA-TT', 'SR'}",Mozart-K465-SQ19-1_ann3_midi_1_106.0_112.0.mid
1,114.0,118.0,"{'RA', 'F', 'PA'}",,False,"{'RA', 'F', 'PA'}",Mozart-K465-SQ19-1_ann3_midi_1_114.0_118.0.mid
1,158.0,163.0,{'RA'},,False,"{'SP-PT', 'RA'}",Mozart-K465-SQ19-1_ann3_midi_1_158.0_163.0.mid
2,154.0,159.0,{'RA'},,False,"{'SP-PT', 'RA'}",Mozart-K465-SQ19-1_ann3_midi_2_154.0_159.0.mid
3,150.0,156.0,{'RA'},,False,"{'SP-PT', 'RA-Off'}",Mozart-K465-SQ19-1_ann3_midi_3_150.0_156.0.mid
